Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
X-linked lissencephaly 2,knowledge_filtered,2,2,1.0,65.0,65.0,95.4,0.2923076923076924,8965.5,0.0,0.0,0.5,ARX(103); GPR101(27)
Fukuyama congenital muscular dystrophy,knowledge_filtered,1,1,1.0,65.0,65.0,65.0,0.0,7329.0,0.0,0.0,1.0,FKTN(65)
Sepiapterin reductase deficiency,knowledge_filtered,1,1,1.0,65.0,65.0,65.0,0.0,7262.0,0.0,0.0,1.0,SPR(65)
McKusick-Kaufman syndrome,knowledge_filtered,1,1,1.0,65.0,65.0,65.0,0.0,7258.0,0.0,0.0,1.0,MKKS(65)
X-linked Aarskog syndrome,knowledge_filtered,1,1,1.0,65.0,65.0,65.0,0.0,7299.0,0.0,0.0,1.0,FGD1(65)
17-beta hydroxysteroid dehydrogenase 3 deficiency,knowledge_filtered,1,1,1.0,65.0,65.0,65.0,0.0,7283.0,0.0,0.0,1.0,HSD17B3(65)
Primary ovarian insufficiency,knowledge_filtered,28,27,0.9642857142857143,64.0,146.92592592592592,279.40000000000003,0.6265766648927728,7436.0,0.07407407407407407,0.18518518518518517,0.5925925925925926,TP63(963); FMR1(914); NR5A1(289); ERCC6(273); FOXL2(219)
Megaloblastic anemia,knowledge_filtered,2,2,1.0,64.0,64.0,95.2,0.3046875,9136.0,0.0,0.0,0.5,CUBN(103); AMN(25)
Syndromic X-linked intellectual disability Snyder type,knowledge_filtered,1,1,1.0,64.0,64.0,64.0,0.0,7437.0,0.0,0.0,1.0,SMS(64)
Hereditary spastic paraplegia,knowledge_filtered,73,72,0.9863013698630136,63.0,105.34722222222223,210.89999999999998,0.45706621255401747,7503.5,0.013888888888888888,0.1111111111111111,0.6944444444444444,HSPD1(728); UCHL1(410); L1CAM(334); SPTAN1(327); CAPN1(289)
triple-A syndrome,knowledge_filtered,3,3,1.0,63.0,84.0,123.80000000000001,0.2354497354497355,7497.0,0.0,0.0,1.0,AAAS(139); GMPPA(63); TRAPPC11(50)
"Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay",knowledge_filtered,1,1,1.0,63.0,63.0,63.0,0.0,7503.0,0.0,0.0,1.0,TRNT1(63)
