Disease,median_pubmed_filtered,mean_pubmed_filtered,n_genes_with_pubmed_filtered,coverage_filtered,median_pubmed_full,mean_pubmed_full,n_genes_with_pubmed_full,coverage_full,delta_median_full_minus_filtered,delta_mean_full_minus_filtered
Loeys-Dietz syndrome,617.0,583.8,5.0,1.0,617.0,583.8,5,1.0,0.0,0.0
Long QT syndrome,229.0,315.25925925925924,16.0,1.0,229.0,313.4516129032258,16,1.0,0.0,-1.8076463560334446
Lung cancer,716.5,1653.9642857142858,28.0,1.0,716.5,1653.9642857142858,28,1.0,0.0,0.0
Lyme disease,1546.0,1546.0,2.0,1.0,1546.0,1546.0,2,1.0,0.0,0.0
Lymphangioleiomyomatosis,446.5,446.5,2.0,1.0,446.5,446.5,2,1.0,0.0,0.0
Lymphoplasmacytic lymphoma,1396.0,1396.0,2.0,1.0,1396.0,1396.0,2,1.0,0.0,0.0
Lynch syndrome,533.0,552.6153846153846,8.0,1.0,533.0,552.6153846153846,8,1.0,0.0,0.0
Lysinuric protein intolerance,46.0,46.0,1.0,1.0,46.0,46.0,1,1.0,0.0,0.0
Lysosomal acid lipase deficiency,112.0,112.0,1.0,1.0,112.0,112.0,1,1.0,0.0,0.0
MASA syndrome,334.0,334.0,1.0,1.0,334.0,334.0,1,1.0,0.0,0.0
MHC class I deficiency,236.0,218.66666666666666,3.0,1.0,236.0,218.66666666666666,3,1.0,0.0,0.0
MHC class II deficiency,55.0,92.75,4.0,1.0,55.0,92.75,4,1.0,0.0,0.0
Machado-Joseph disease,331.0,331.0,1.0,1.0,331.0,331.0,1,1.0,0.0,0.0
Lipoid proteinosis,132.0,132.0,1.0,1.0,132.0,132.0,1,1.0,0.0,0.0
Maffucci syndrome,743.5,743.5,2.0,1.0,743.5,743.5,2,1.0,0.0,0.0
Mal de Meleda,55.0,55.0,1.0,1.0,55.0,55.0,1,1.0,0.0,0.0
