Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
ICD10:D8,knowledge_full,47,47,1.0,160.0,368.23214285714283,531.0,0.6027601889890334,2846.5,0.10714285714285714,0.44642857142857145,0.8928571428571429,STAT3(3689); NFKB1(3390); COMT(2073); PRKDC(902); PRKCD(718)
Gangliosidosis,knowledge_full,5,5,1.0,160.0,140.77777777777777,177.4,0.1578531965272296,2833.0,0.0,0.0,1.0,PSAP(187); GLB1(175); GLB1(175); HEXA(160); HEXA(160)
ICD10:E751,knowledge_full,5,5,1.0,160.0,140.77777777777777,177.4,0.1578531965272296,2833.0,0.0,0.0,1.0,PSAP(187); GLB1(175); GLB1(175); HEXA(160); HEXA(160)
Uveal disease,knowledge_full,3,3,1.0,160.0,231.66666666666666,368.0,0.2925659472422062,2849.0,0.0,0.3333333333333333,1.0,PAX6(420); OAT(160); CHM(115)
Spondylocarpotarsal synostosis syndrome,knowledge_full,2,2,1.0,160.0,160.0,239.2,0.30937499999999996,4611.5,0.0,0.5,1.0,FLNB(259); MYH3(61)
Hereditary sensory and autonomic neuropathy type 1A,knowledge_full,1,1,1.0,160.0,160.0,160.0,0.0,2841.0,0.0,0.0,1.0,SPTLC1(160)
Hereditary sensory and autonomic neuropathy type 1,knowledge_full,1,1,1.0,160.0,160.0,160.0,0.0,2841.0,0.0,0.0,1.0,SPTLC1(160)
Holt-Oram syndrome,knowledge_full,1,1,1.0,160.0,160.0,160.0,0.0,2845.0,0.0,0.0,1.0,TBX5(160)
Gyrate atrophy,knowledge_full,1,1,1.0,160.0,160.0,160.0,0.0,2849.0,0.0,0.0,1.0,OAT(160)
Tay-Sachs disease,knowledge_full,1,1,1.0,160.0,160.0,160.0,0.0,2833.0,0.0,0.0,1.0,HEXA(160)
Kleefstra syndrome,knowledge_full,1,1,1.0,159.0,159.0,159.0,0.0,2872.0,0.0,0.0,1.0,EHMT1(159)
Vitelliform macular dystrophy,knowledge_full,2,2,1.0,158.5,158.5,188.5,0.11829652996845419,3049.5,0.0,0.0,1.0,BEST1(196); PRPH2(121)
Cardiomyopathy,knowledge_full,127,123,0.968503937007874,158.0,257.9626168224299,566.400000000001,0.5142931197590314,2885.5,0.10747663551401869,0.42990654205607476,0.9065420560747663,KRAS(3044); BRAF(2743); LMNA(1073); LMNA(1073); LMNA(1073)
ICD10:I42,knowledge_full,127,123,0.968503937007874,158.0,256.25,517.4000000000003,0.5144735996665769,2885.5,0.10377358490566038,0.42924528301886794,0.9056603773584906,KRAS(3044); BRAF(2743); LMNA(1073); LMNA(1073); LMNA(1073)
ICD10:I43,knowledge_full,127,123,0.968503937007874,158.0,256.25,517.4000000000003,0.5144735996665769,2885.5,0.10377358490566038,0.42924528301886794,0.9056603773584906,KRAS(3044); BRAF(2743); LMNA(1073); LMNA(1073); LMNA(1073)
Congenital central hypoventilation syndrome,knowledge_full,1,1,1.0,158.0,158.0,158.0,0.0,2884.0,0.0,0.0,1.0,PHOX2B(158)
Helsmoortel-Van Der Aa Syndrome,knowledge_full,1,1,1.0,158.0,158.0,158.0,0.0,2888.0,0.0,0.0,1.0,ADNP(158)
X-linked severe combined immunodeficiency,knowledge_full,1,1,1.0,158.0,158.0,158.0,0.0,2891.0,0.0,0.0,1.0,IL2RG(158)
Integumentary system disease,knowledge_full,248,247,0.9959677419354839,157.0,446.28395061728395,991.6999999999985,0.672450640678208,2912.5,0.2006172839506173,0.4228395061728395,0.8734567901234568,TNF(6439); APOE(5224); APOE(5224); APOE(5224); MTHFR(3862)
