Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Autoimmune disease of peripheral nervous system,knowledge_full,1,1,1.0,6439.0,6439.0,6439.0,0.0,3.0,1.0,1.0,1.0,TNF(6439)
Guillain-Barre syndrome,knowledge_full,1,1,1.0,6439.0,6439.0,6439.0,0.0,3.0,1.0,1.0,1.0,TNF(6439)
ICD10:G61,knowledge_full,1,1,1.0,6439.0,6439.0,6439.0,0.0,3.0,1.0,1.0,1.0,TNF(6439)
ICD10:G610,knowledge_full,1,1,1.0,6439.0,6439.0,6439.0,0.0,3.0,1.0,1.0,1.0,TNF(6439)
Camurati-Engelmann disease,knowledge_full,1,1,1.0,5005.0,5005.0,5005.0,0.0,7.0,1.0,1.0,1.0,TGFB1(5005)
ICD10:Q783,knowledge_full,1,1,1.0,5005.0,5005.0,5005.0,0.0,7.0,1.0,1.0,1.0,TGFB1(5005)
Anencephaly,knowledge_full,1,1,1.0,3862.0,3862.0,3862.0,0.0,9.0,1.0,1.0,1.0,MTHFR(3862)
Spina bifida,knowledge_full,1,1,1.0,3862.0,3862.0,3862.0,0.0,9.0,1.0,1.0,1.0,MTHFR(3862)
ICD10:Q05,knowledge_full,1,1,1.0,3862.0,3862.0,3862.0,0.0,9.0,1.0,1.0,1.0,MTHFR(3862)
Proteus syndrome,knowledge_full,1,1,1.0,3744.0,3744.0,3744.0,0.0,10.0,1.0,1.0,1.0,AKT1(3744)
Pilomatrixoma,knowledge_full,1,1,1.0,3354.0,3354.0,3354.0,0.0,16.0,1.0,1.0,1.0,CTNNB1(3354)
Hair follicle neoplasm,knowledge_full,1,1,1.0,3354.0,3354.0,3354.0,0.0,16.0,1.0,1.0,1.0,CTNNB1(3354)
Bannayan-Riley-Ruvalcaba syndrome,knowledge_full,1,1,1.0,2819.0,2819.0,2819.0,0.0,23.0,1.0,1.0,1.0,PTEN(2819)
Erdheim-Chester disease,knowledge_full,1,1,1.0,2743.0,2743.0,2743.0,0.0,26.0,1.0,1.0,1.0,BRAF(2743)
non-Langerhans-cell histiocytosis,knowledge_full,1,1,1.0,2743.0,2743.0,2743.0,0.0,26.0,1.0,1.0,1.0,BRAF(2743)
Androgenic alopecia,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
Kennedy's disease,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
Androgen insensitivity syndrome,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
Alopecia,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
ICD10:L64,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
AH Amyloidosis,knowledge_full,2,2,1.0,2668.5,2668.5,4712.9,0.4788270563987258,2130.5,0.5,0.5,1.0,APOE(5224); APCS(113)
AHL Amyloidosis,knowledge_full,2,2,1.0,2668.5,2668.5,4712.9,0.4788270563987258,2130.5,0.5,0.5,1.0,APOE(5224); APCS(113)
Lewy body dementia,knowledge_full,5,4,0.8,2250.0,2598.6,4409.2,0.34544754868005845,44.0,0.8,0.8,1.0,APOE(5224); APP(3187); SNCA(2250); SNCA(2250); SNCB(82)
ICD10:F02,knowledge_full,5,4,0.8,2250.0,2598.6,4409.2,0.34544754868005845,44.0,0.8,0.8,1.0,APOE(5224); APP(3187); SNCA(2250); SNCA(2250); SNCB(82)
Dementia,knowledge_full,8,7,0.875,2219.0,2019.7777777777778,3594.4000000000005,0.4037481204386254,47.0,0.7777777777777778,0.7777777777777778,1.0,APOE(5224); APP(3187); SNCA(2250); SNCA(2250); MAPT(2219)
ICD10:F03,knowledge_full,8,7,0.875,2219.0,2019.7777777777778,3594.4000000000005,0.4037481204386254,47.0,0.7777777777777778,0.7777777777777778,1.0,APOE(5224); APP(3187); SNCA(2250); SNCA(2250); MAPT(2219)
Pick's disease,knowledge_full,1,1,1.0,2219.0,2219.0,2219.0,0.0,47.0,1.0,1.0,1.0,MAPT(2219)
Progressive supranuclear palsy,knowledge_full,1,1,1.0,2219.0,2219.0,2219.0,0.0,47.0,1.0,1.0,1.0,MAPT(2219)
ICD10:G231,knowledge_full,1,1,1.0,2219.0,2219.0,2219.0,0.0,47.0,1.0,1.0,1.0,MAPT(2219)
Stevens-Johnson syndrome,knowledge_full,1,1,1.0,2215.0,2215.0,2215.0,0.0,48.0,1.0,1.0,1.0,HLA-B(2215)
Desmoid tumor,knowledge_full,2,2,1.0,2186.5,2186.5,3120.5,0.26697919048707974,85.5,1.0,1.0,1.0,CTNNB1(3354); APC(1019)
Congenital bilateral absence of vas deferens,knowledge_full,1,1,1.0,1944.0,1944.0,1944.0,0.0,59.0,1.0,1.0,1.0,CFTR(1944)
Rosacea,knowledge_full,4,4,1.0,1913.0,1883.0,2688.6,0.22583643122676578,61.5,1.0,1.0,1.0,HLA-DRB1(2868); GSTM1(2270); HLA-DQB1(1556); HLA-DQA1(838)
ICD10:L71,knowledge_full,4,4,1.0,1913.0,1883.0,2688.6,0.22583643122676578,61.5,1.0,1.0,1.0,HLA-DRB1(2868); GSTM1(2270); HLA-DQB1(1556); HLA-DQA1(838)
Congenital leptin deficiency,knowledge_full,1,1,1.0,1911.0,1911.0,1911.0,0.0,60.0,1.0,1.0,1.0,LEP(1911)
Hyper IgE syndrome,knowledge_full,2,2,1.0,1857.0,1857.0,3322.6,0.4932687129779214,6763.0,0.5,0.5,0.5,STAT3(3689); ZNF341(25)
Hyper IgE recurrent infection syndrome 1,knowledge_full,2,2,1.0,1857.0,1857.0,3322.6,0.4932687129779214,6763.0,0.5,0.5,0.5,STAT3(3689); ZNF341(25)
ICD10:D824,knowledge_full,2,2,1.0,1857.0,1857.0,3322.6,0.4932687129779214,6763.0,0.5,0.5,0.5,STAT3(3689); ZNF341(25)
Head and neck cancer,knowledge_full,7,7,1.0,1717.0,3055.4285714285716,6334.600000000003,0.5277592241310215,68.0,0.8571428571428571,0.8571428571428571,1.0,TP53(11608); PTEN(2819); CDKN2A(2695); PIK3CA(1717); NOTCH1(1587)
Head and neck carcinoma,knowledge_full,7,7,1.0,1717.0,3055.4285714285716,6334.600000000003,0.5277592241310215,68.0,0.8571428571428571,0.8571428571428571,1.0,TP53(11608); PTEN(2819); CDKN2A(2695); PIK3CA(1717); NOTCH1(1587)
Squamous cell carcinoma,knowledge_full,7,7,1.0,1717.0,3055.4285714285716,6334.600000000003,0.5277592241310215,68.0,0.8571428571428571,0.8571428571428571,1.0,TP53(11608); PTEN(2819); CDKN2A(2695); PIK3CA(1717); NOTCH1(1587)
Head and neck squamous cell carcinoma,knowledge_full,7,7,1.0,1717.0,3055.4285714285716,6334.600000000003,0.5277592241310215,68.0,0.8571428571428571,0.8571428571428571,1.0,TP53(11608); PTEN(2819); CDKN2A(2695); PIK3CA(1717); NOTCH1(1587)
Klippel-Trenaunay syndrome,knowledge_full,1,1,1.0,1717.0,1717.0,1717.0,0.0,68.0,1.0,1.0,1.0,PIK3CA(1717)
Large congenital melanocytic nevus,knowledge_full,2,2,1.0,1710.0,1710.0,2536.4,0.302046783625731,174.5,1.0,1.0,1.0,BRAF(2743); NRAS(677)
Li-Fraumeni syndrome,knowledge_full,4,4,1.0,1692.0,4592.833333333333,11608.0,0.5531746319749368,171.5,0.8333333333333334,1.0,1.0,TP53(11608); TP53(11608); CDKN2A(2695); CHEK2(689); CHEK2(689)
Herpes zoster,knowledge_full,7,7,1.0,1667.0,1770.4285714285713,3566.6,0.43017371557676565,71.0,0.7142857142857143,0.7142857142857143,1.0,STAT3(3689); IL10(3485); HLA-B(2215); HLA-A(1667); STAT1(1144)
Viral infectious disease,knowledge_full,7,7,1.0,1667.0,1770.4285714285713,3566.6,0.43017371557676565,71.0,0.7142857142857143,0.7142857142857143,1.0,STAT3(3689); IL10(3485); HLA-B(2215); HLA-A(1667); STAT1(1144)
Cardiofaciocutaneous syndrome,knowledge_full,4,4,1.0,1633.0,1644.0,2953.7000000000003,0.4012317518248175,259.0,0.75,1.0,1.0,KRAS(3044); BRAF(2743); MAP2K1(523); MAP2K2(266)
Histiocytosis,knowledge_full,3,3,1.0,1633.0,1553.0,2743.0,0.3960077269800386,259.0,0.75,0.75,1.0,BRAF(2743); BRAF(2743); MAP2K1(523); MAP3K1(203)
Ataxia telangiectasia,knowledge_full,1,1,1.0,1572.0,1572.0,1572.0,0.0,79.0,1.0,1.0,1.0,ATM(1572)
ICD10:G113,knowledge_full,1,1,1.0,1572.0,1572.0,1572.0,0.0,79.0,1.0,1.0,1.0,ATM(1572)
obsessive-compulsive disorder,knowledge_full,2,2,1.0,1567.5,1567.5,2234.3,0.26586921850079737,164.0,1.0,1.0,1.0,SLC6A4(2401); HTR2A(734)
Anxiety disorder,knowledge_full,2,2,1.0,1567.5,1567.5,2234.3,0.26586921850079737,164.0,1.0,1.0,1.0,SLC6A4(2401); HTR2A(734)
ICD10:F4,knowledge_full,2,2,1.0,1567.5,1567.5,2234.3,0.26586921850079737,164.0,1.0,1.0,1.0,SLC6A4(2401); HTR2A(734)
ICD10:F41,knowledge_full,2,2,1.0,1567.5,1567.5,2234.3,0.26586921850079737,164.0,1.0,1.0,1.0,SLC6A4(2401); HTR2A(734)
ICD10:F419,knowledge_full,2,2,1.0,1567.5,1567.5,2234.3,0.26586921850079737,164.0,1.0,1.0,1.0,SLC6A4(2401); HTR2A(734)
ICD10:F42,knowledge_full,2,2,1.0,1567.5,1567.5,2234.3,0.26586921850079737,164.0,1.0,1.0,1.0,SLC6A4(2401); HTR2A(734)
Lyme disease,knowledge_full,2,2,1.0,1546.0,1546.0,2603.6,0.427554980595084,926.0,0.5,1.0,1.0,HLA-DRB1(2868); TLR1(224)
Weaver syndrome,knowledge_full,1,1,1.0,1545.0,1545.0,1545.0,0.0,83.0,1.0,1.0,1.0,EZH2(1545)
Prothrombin thrombophilia,knowledge_full,1,1,1.0,1486.0,1486.0,1486.0,0.0,89.0,1.0,1.0,1.0,F2(1486)
Prothrombin deficiency,knowledge_full,1,1,1.0,1486.0,1486.0,1486.0,0.0,89.0,1.0,1.0,1.0,F2(1486)
Frontotemporal dementia,knowledge_full,3,3,1.0,1413.5,1296.25,2219.0,0.37854387656702027,218.0,0.75,0.75,1.0,MAPT(2219); MAPT(2219); GRN(608); CHMP2B(139)
ICD10:G310,knowledge_full,3,3,1.0,1413.5,1296.25,2219.0,0.37854387656702027,218.0,0.75,0.75,1.0,MAPT(2219); MAPT(2219); GRN(608); CHMP2B(139)
Lymphoplasmacytic lymphoma,knowledge_full,2,2,1.0,1396.0,1396.0,2019.2,0.27901146131805166,214.0,1.0,1.0,1.0,CXCR4(2175); MYD88(617)
B-cell lymphoma,knowledge_full,2,2,1.0,1396.0,1396.0,2019.2,0.27901146131805166,214.0,1.0,1.0,1.0,CXCR4(2175); MYD88(617)
ICD10:C88,knowledge_full,2,2,1.0,1396.0,1396.0,2019.2,0.27901146131805166,214.0,1.0,1.0,1.0,CXCR4(2175); MYD88(617)
ICD10:C880,knowledge_full,2,2,1.0,1396.0,1396.0,2019.2,0.27901146131805166,214.0,1.0,1.0,1.0,CXCR4(2175); MYD88(617)
Factor V deficiency,knowledge_full,1,1,1.0,1343.0,1343.0,1343.0,0.0,100.0,1.0,1.0,1.0,F5(1343)
Blepharocheilodontic syndrome,knowledge_full,2,2,1.0,1341.5,1341.5,2053.9,0.3319045844204249,327.5,0.5,1.0,1.0,CDH1(2232); CTNND1(451)
Diffuse gastric cancer,knowledge_full,2,2,1.0,1267.0,1267.0,2039.0,0.38082083662194166,597.0,0.5,1.0,1.0,CDH1(2232); CTNNA1(302)
Hereditary diffuse gastric cancer,knowledge_full,2,2,1.0,1267.0,1267.0,2039.0,0.38082083662194166,597.0,0.5,1.0,1.0,CDH1(2232); CTNNA1(302)
Stomach cancer,knowledge_full,2,2,1.0,1267.0,1267.0,2039.0,0.38082083662194166,597.0,0.5,1.0,1.0,CDH1(2232); CTNNA1(302)
Stomach disease,knowledge_full,2,2,1.0,1267.0,1267.0,2039.0,0.38082083662194166,597.0,0.5,1.0,1.0,CDH1(2232); CTNNA1(302)
ICD10:C1,knowledge_full,2,2,1.0,1267.0,1267.0,2039.0,0.38082083662194166,597.0,0.5,1.0,1.0,CDH1(2232); CTNNA1(302)
ICD10:C16,knowledge_full,2,2,1.0,1267.0,1267.0,2039.0,0.38082083662194166,597.0,0.5,1.0,1.0,CDH1(2232); CTNNA1(302)
ICD10:K3,knowledge_full,2,2,1.0,1267.0,1267.0,2039.0,0.38082083662194166,597.0,0.5,1.0,1.0,CDH1(2232); CTNNA1(302)
ICD10:K31,knowledge_full,2,2,1.0,1267.0,1267.0,2039.0,0.38082083662194166,597.0,0.5,1.0,1.0,CDH1(2232); CTNNA1(302)
ICD10:K319,knowledge_full,2,2,1.0,1267.0,1267.0,2039.0,0.38082083662194166,597.0,0.5,1.0,1.0,CDH1(2232); CTNNA1(302)
Celiac disease,knowledge_full,2,2,1.0,1197.0,1197.0,1484.2,0.1499582289055974,150.5,1.0,1.0,1.0,HLA-DQB1(1556); HLA-DQA1(838)
ICD10:K9,knowledge_full,2,2,1.0,1197.0,1197.0,1484.2,0.1499582289055974,150.5,1.0,1.0,1.0,HLA-DQB1(1556); HLA-DQA1(838)
ICD10:K90,knowledge_full,2,2,1.0,1197.0,1197.0,1484.2,0.1499582289055974,150.5,1.0,1.0,1.0,HLA-DQB1(1556); HLA-DQA1(838)
ICD10:K900,knowledge_full,2,2,1.0,1197.0,1197.0,1484.2,0.1499582289055974,150.5,1.0,1.0,1.0,HLA-DQB1(1556); HLA-DQA1(838)
Immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome,knowledge_full,1,1,1.0,1169.0,1169.0,1169.0,0.0,125.0,1.0,1.0,1.0,FOXP3(1169)
ICD10:G23,knowledge_full,2,2,1.0,1160.0,1160.0,2007.2,0.4564655172413794,2419.0,0.5,0.5,1.0,MAPT(2219); PANK2(101)
Multiple system atrophy,knowledge_full,2,2,1.0,1150.0,1150.0,2030.0,0.4782608695652173,4535.5,0.5,0.5,1.0,SNCA(2250); COQ2(50)
Polycythemia vera,knowledge_full,2,2,1.0,1137.5,1137.5,1670.7,0.29296703296703286,319.0,0.5,1.0,1.0,JAK2(1804); TET2(471)
ICD10:C94,knowledge_full,2,2,1.0,1137.5,1137.5,1670.7,0.29296703296703286,319.0,0.5,1.0,1.0,JAK2(1804); TET2(471)
ICD10:C941,knowledge_full,2,2,1.0,1137.5,1137.5,1670.7,0.29296703296703286,319.0,0.5,1.0,1.0,JAK2(1804); TET2(471)
ICD10:D45,knowledge_full,2,2,1.0,1137.5,1137.5,1670.7,0.29296703296703286,319.0,0.5,1.0,1.0,JAK2(1804); TET2(471)
Fibromyalgia,knowledge_full,5,5,1.0,1126.0,1277.0,2269.8,0.3783241973375098,133.0,0.8,0.8,1.0,SLC6A4(2401); COMT(2073); ADRB2(1126); HTR2A(734); TAAR1(51)
ICD10:M7,knowledge_full,5,5,1.0,1126.0,1277.0,2269.8,0.3783241973375098,133.0,0.8,0.8,1.0,SLC6A4(2401); COMT(2073); ADRB2(1126); HTR2A(734); TAAR1(51)
ICD10:M79,knowledge_full,5,5,1.0,1126.0,1277.0,2269.8,0.3783241973375098,133.0,0.8,0.8,1.0,SLC6A4(2401); COMT(2073); ADRB2(1126); HTR2A(734); TAAR1(51)
ICD10:M797,knowledge_full,5,5,1.0,1126.0,1277.0,2269.8,0.3783241973375098,133.0,0.8,0.8,1.0,SLC6A4(2401); COMT(2073); ADRB2(1126); HTR2A(734); TAAR1(51)
Congenital muscular dystrophy due to LMNA mutation,knowledge_full,1,1,1.0,1073.0,1073.0,1073.0,0.0,145.0,1.0,1.0,1.0,LMNA(1073)
Progeria,knowledge_full,1,1,1.0,1073.0,1073.0,1073.0,0.0,145.0,1.0,1.0,1.0,LMNA(1073)
Von Willebrand's disease,knowledge_full,1,1,1.0,1033.0,1033.0,1033.0,0.0,151.0,1.0,1.0,1.0,VWF(1033)
ICD10:D680,knowledge_full,1,1,1.0,1033.0,1033.0,1033.0,0.0,151.0,1.0,1.0,1.0,VWF(1033)
Localized insulin-derived Amyloidosis,knowledge_full,5,5,1.0,1031.0,1544.0,3584.8,0.5762694300518134,152.0,0.6,0.8,1.0,APOE(5224); APOA1(1126); INS(1031); APOA4(226); APCS(113)
Musculoskeletal system benign neoplasm,knowledge_full,3,3,1.0,1019.0,1466.6666666666667,2887.0,0.504090909090909,155.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,CTNNB1(3354); APC(1019); ODAM(27)
Connective tissue benign neoplasm,knowledge_full,3,3,1.0,1019.0,1466.6666666666667,2887.0,0.504090909090909,155.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,CTNNB1(3354); APC(1019); ODAM(27)
ICD10:Q872,knowledge_full,5,5,1.0,1007.0,871.8,1587.0,0.411745813259922,159.0,0.6,0.6,1.0,PIK3CA(1717); EP300(1392); CREBBP(1007); AARS1(147); LMX1B(96)
Rubinstein-Taybi syndrome,knowledge_full,3,3,1.0,1007.0,848.6666666666666,1315.0,0.3260015710919089,159.0,0.6666666666666666,0.6666666666666666,1.0,EP300(1392); CREBBP(1007); AARS1(147)
Blau syndrome,knowledge_full,1,1,1.0,1001.0,1001.0,1001.0,0.0,160.0,1.0,1.0,1.0,NOD2(1001)
Primary hypoalphalipoproteinemia 1,knowledge_full,2,2,1.0,987.5,987.5,1098.3,0.07012658227848112,175.5,1.0,1.0,1.0,APOA1(1126); ABCA1(849)
ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,knowledge_full,1,1,1.0,963.0,963.0,963.0,0.0,175.0,1.0,1.0,1.0,TP63(963)
Type 1 diabetes mellitus,knowledge_full,14,14,1.0,934.5,1287.357142857143,2500.5000000000014,0.4982561964473966,186.5,0.7857142857142857,0.7857142857142857,1.0,IL6(5459); HLA-DRB1(2868); CCR5(1643); HLA-DQB1(1556); CTLA4(1335)
ICD10:E10,knowledge_full,14,14,1.0,934.5,1287.357142857143,2500.5000000000014,0.4982561964473966,186.5,0.7857142857142857,0.7857142857142857,1.0,IL6(5459); HLA-DRB1(2868); CCR5(1643); HLA-DQB1(1556); CTLA4(1335)
Cardiovascular organ benign neoplasm,knowledge_full,1,1,1.0,916.0,916.0,916.0,0.0,195.0,1.0,1.0,1.0,VHL(916)
Von Hippel-Lindau disease,knowledge_full,1,1,1.0,916.0,916.0,916.0,0.0,195.0,1.0,1.0,1.0,VHL(916)
Hemangioma,knowledge_full,1,1,1.0,916.0,916.0,916.0,0.0,195.0,1.0,1.0,1.0,VHL(916)
Hemangioblastoma,knowledge_full,1,1,1.0,916.0,916.0,916.0,0.0,195.0,1.0,1.0,1.0,VHL(916)
ICD10:D18,knowledge_full,1,1,1.0,916.0,916.0,916.0,0.0,195.0,1.0,1.0,1.0,VHL(916)
ICD10:D180,knowledge_full,1,1,1.0,916.0,916.0,916.0,0.0,195.0,1.0,1.0,1.0,VHL(916)
Fragile X-associated tremor/ataxia syndrome,knowledge_full,1,1,1.0,914.0,914.0,914.0,0.0,197.0,1.0,1.0,1.0,FMR1(914)
X-linked hereditary ataxia,knowledge_full,1,1,1.0,914.0,914.0,914.0,0.0,197.0,1.0,1.0,1.0,FMR1(914)
Primary ovarian insufficiency 1,knowledge_full,1,1,1.0,914.0,914.0,914.0,0.0,197.0,1.0,1.0,1.0,FMR1(914)
Fragile X syndrome,knowledge_full,1,1,1.0,914.0,914.0,914.0,0.0,197.0,1.0,1.0,1.0,FMR1(914)
ICD10:Q992,knowledge_full,1,1,1.0,914.0,914.0,914.0,0.0,197.0,1.0,1.0,1.0,FMR1(914)
Autoimmune thyroiditis,knowledge_full,6,6,1.0,879.0,1083.8333333333333,2101.5,0.4325439540724794,266.0,0.6666666666666666,1.0,1.0,HLA-DRB1(2868); CTLA4(1335); FOXP3(1169); PTPN22(589); SLC26A4(331)
ICD10:L7,knowledge_full,7,7,1.0,878.0,1244.0,2509.2000000000003,0.4320821576218912,204.0,0.7142857142857143,0.7142857142857143,1.0,HLA-DRB1(2868); GSTM1(2270); HLA-DQB1(1556); PSEN1(878); HLA-DQA1(838)
Hereditary sensory neuropathy type 1E,knowledge_full,1,1,1.0,877.0,877.0,877.0,0.0,206.0,1.0,1.0,1.0,DNMT1(877)
SHORT syndrome,knowledge_full,1,1,1.0,872.0,872.0,872.0,0.0,207.0,1.0,1.0,1.0,PIK3R1(872)
Sickle cell disease,knowledge_full,1,1,1.0,871.0,871.0,871.0,0.0,209.0,1.0,1.0,1.0,HBB(871)
Beta thalassemia,knowledge_full,1,1,1.0,871.0,871.0,871.0,0.0,209.0,1.0,1.0,1.0,HBB(871)
Blood protein disease,knowledge_full,1,1,1.0,871.0,871.0,871.0,0.0,209.0,1.0,1.0,1.0,HBB(871)
ICD10:D561,knowledge_full,1,1,1.0,871.0,871.0,871.0,0.0,209.0,1.0,1.0,1.0,HBB(871)
Dopamine transporter deficiency syndrome,knowledge_full,1,1,1.0,868.0,868.0,868.0,0.0,210.0,1.0,1.0,1.0,SLC6A3(868)
Prion disease,knowledge_full,10,10,1.0,863.0,1012.8823529411765,1792.6000000000008,0.5093484283776814,211.0,0.7058823529411765,0.7058823529411765,1.0,APOE(5224); APP(3187); PRNP(863); PRNP(863); PRNP(863)
Gerstmann-Straussler-Scheinker syndrome,knowledge_full,3,3,1.0,863.0,1550.0,2722.2000000000003,0.3708960573476703,211.0,1.0,1.0,1.0,APP(3187); PRNP(863); YWHAE(600)
Variably Protease-Sensitive Prionopathy,knowledge_full,1,1,1.0,863.0,863.0,863.0,0.0,211.0,1.0,1.0,1.0,PRNP(863)
Fatal familial insomnia,knowledge_full,1,1,1.0,863.0,863.0,863.0,0.0,211.0,1.0,1.0,1.0,PRNP(863)
Kuru,knowledge_full,1,1,1.0,863.0,863.0,863.0,0.0,211.0,1.0,1.0,1.0,PRNP(863)
Vohwinkel syndrome,knowledge_full,2,1,0.5,860.0,860.0,860.0,0.0,214.0,1.0,1.0,1.0,GJB2(860)
Bart-Pumphrey syndrome,knowledge_full,1,1,1.0,860.0,860.0,860.0,0.0,214.0,1.0,1.0,1.0,GJB2(860)
Palmoplantar keratoderma-deafness syndrome,knowledge_full,2,1,0.5,860.0,860.0,860.0,0.0,214.0,1.0,1.0,1.0,GJB2(860)
Caffey disease,knowledge_full,1,1,1.0,856.0,856.0,856.0,0.0,216.0,1.0,1.0,1.0,COL1A1(856)
Tangier disease,knowledge_full,1,1,1.0,849.0,849.0,849.0,0.0,219.0,1.0,1.0,1.0,ABCA1(849)
ICD10:E786,knowledge_full,1,1,1.0,849.0,849.0,849.0,0.0,219.0,1.0,1.0,1.0,ABCA1(849)
Aromatase excess syndrome,knowledge_full,1,1,1.0,833.0,833.0,833.0,0.0,227.0,1.0,1.0,1.0,CYP19A1(833)
Familial hypercholesterolemia,knowledge_full,4,4,1.0,830.5,670.5,931.3,0.25633855331841904,231.0,0.75,0.75,1.0,APOB(949); LDLR(890); PCSK9(771); LDLRAP1(72)
Glanzmann's thrombasthenia,knowledge_full,2,2,1.0,830.5,830.5,1142.1,0.23449729078868153,373.0,0.5,1.0,1.0,ITGB3(1220); ITGA2B(441)
Disease by infectious agent,knowledge_full,26,26,1.0,824.0,1081.5,3091.2999999999997,0.5563215577493132,232.0,0.6176470588235294,0.7352941176470589,1.0,APOE(5224); STAT3(3689); IL10(3485); APP(3187); HLA-DRB1(2868)
ICD10:A,knowledge_full,10,10,1.0,824.0,1098.5714285714287,2489.8000000000025,0.527661155489504,232.0,0.7142857142857143,0.7142857142857143,1.0,APOE(5224); APP(3187); PRNP(863); PRNP(863); PRNP(863)
ICD10:A8,knowledge_full,10,10,1.0,824.0,1098.5714285714287,2489.8000000000025,0.527661155489504,232.0,0.7142857142857143,0.7142857142857143,1.0,APOE(5224); APP(3187); PRNP(863); PRNP(863); PRNP(863)
ICD10:A81,knowledge_full,10,10,1.0,824.0,1098.5714285714287,2489.8000000000025,0.527661155489504,232.0,0.7142857142857143,0.7142857142857143,1.0,APOE(5224); APP(3187); PRNP(863); PRNP(863); PRNP(863)
Costello syndrome,knowledge_full,1,1,1.0,823.0,823.0,823.0,0.0,233.0,1.0,1.0,1.0,HRAS(823)
Noonan syndrome with multiple lentigines,knowledge_full,4,4,1.0,820.0,1226.5,2201.2000000000003,0.35130452507134124,242.5,1.0,1.0,1.0,BRAF(2743); PTPN11(937); RAF1(703); MAP2K1(523)
Syndromic microphthalmia 3,knowledge_full,1,1,1.0,815.0,815.0,815.0,0.0,238.0,1.0,1.0,1.0,SOX2(815)
Hypolipoproteinemia,knowledge_full,7,7,1.0,810.0,635.25,1002.0999999999999,0.3104092876820149,240.0,0.625,0.625,1.0,APOA1(1126); APOB(949); ABCA1(849); ABCA1(849); PCSK9(771)
Paget's disease of bone 5,knowledge_full,1,1,1.0,804.0,804.0,804.0,0.0,244.0,1.0,1.0,1.0,TNFRSF11B(804)
Piebaldism,knowledge_full,2,2,1.0,795.5,795.5,1095.9,0.23601508485229417,401.0,0.5,1.0,1.0,KIT(1171); SNAI2(420)
Huntington's disease,knowledge_full,1,1,1.0,793.0,793.0,793.0,0.0,249.0,1.0,1.0,1.0,HTT(793); HTT(793)
ICD10:G10,knowledge_full,1,1,1.0,793.0,793.0,793.0,0.0,249.0,1.0,1.0,1.0,HTT(793); HTT(793)
Familial hyperlipidemia,knowledge_full,7,7,1.0,784.0,1077.111111111111,1804.000000000001,0.5670403227655136,255.0,0.6666666666666666,0.6666666666666666,1.0,APOE(5224); APOB(949); LDLR(890); LPL(784); LPL(784)
Familial chylomicronemia syndrome,knowledge_full,1,1,1.0,784.0,784.0,784.0,0.0,255.0,1.0,1.0,1.0,LPL(784)
Familial lipoprotein lipase deficiency,knowledge_full,1,1,1.0,784.0,784.0,784.0,0.0,255.0,1.0,1.0,1.0,LPL(784)
ICD10:E783,knowledge_full,1,1,1.0,784.0,784.0,784.0,0.0,255.0,1.0,1.0,1.0,LPL(784)
Oculodentodigital dysplasia,knowledge_full,1,1,1.0,769.0,769.0,769.0,0.0,262.0,1.0,1.0,1.0,GJA1(769)
Epidermal nevus,knowledge_full,6,6,1.0,767.0,1264.5,2380.5,0.33779271561003466,267.0,1.0,1.0,1.0,KRAS(3044); PIK3CA(1717); HRAS(823); FGFR2(711); NRAS(677)
Alpha 1-antitrypsin deficiency,knowledge_full,1,1,1.0,760.0,760.0,760.0,0.0,267.0,1.0,1.0,1.0,SERPINA1(760)
Plasma protein metabolism disease,knowledge_full,1,1,1.0,760.0,760.0,760.0,0.0,267.0,1.0,1.0,1.0,SERPINA1(760)
WAGR syndrome,knowledge_full,3,3,1.0,758.0,1245.6666666666667,2198.8,0.38158951030238164,269.0,0.6666666666666666,1.0,1.0,BDNF(2559); WT1(758); PAX6(420)
Frasier syndrome,knowledge_full,1,1,1.0,758.0,758.0,758.0,0.0,269.0,1.0,1.0,1.0,WT1(758)
Denys-Drash syndrome,knowledge_full,1,1,1.0,758.0,758.0,758.0,0.0,269.0,1.0,1.0,1.0,WT1(758)
Osteoglophonic dysplasia,knowledge_full,1,1,1.0,758.0,758.0,758.0,0.0,268.0,1.0,1.0,1.0,FGFR1(758)
ICD10:Q858,knowledge_full,2,2,1.0,751.0,751.0,883.0,0.1098535286284954,302.5,1.0,1.0,1.0,VHL(916); STK11(586)
