group	mean_expr_n	mean_expr_mean	mean_expr_median	mean_expr_q25	mean_expr_q75	max_expr_n	max_expr_mean	max_expr_median	max_expr_q25	max_expr_q75	tau_n	tau_mean	tau_median	tau_q25	tau_q75
top500	487	157.5637436083263	21.149019607843137	8.083333333333334	71.83235294117648	487	2923.7135523613965	103.7	36.849999999999994	369.35	487	0.7779776346686992	0.8065306122448979	0.6643140495867768	0.9178935280361196
lowest500	468	24.663536953242833	9.165686274509804	4.267156862745098	18.73921568627451	468	415.2083333333333	37.2	18.5	94.525	468	0.7627948297255762	0.7859004884004884	0.6386178024657906	0.9098177847756497
randomAbove10k	473	46.22467718794835	14.850980392156861	6.517647058823529	33.29019607843137	473	300.3871035940804	62.8	27.6	164.4	473	0.7476465974063377	0.7573026315789475	0.6052316672747172	0.9028820629503223
randomBelow10k	436	14.555614823687364	5.514705882352941	2.0387254901960783	13.43578431372549	436	172.8454128440367	32.150000000000006	13.6	78.85	436	0.8151948531607159	0.8638856132075472	0.7045376344086022	0.9556569488583727
